Date,Time,StationName,StationCode,Latitude,Longitude,GroupName,SampleId,SampleDepth,Air temperature,Air temperature Code,Air temperature Tier,Air temperature Units,Air temperature Problem,Air temperature Qualifier,Alkalinity,Alkalinity Code,Alkalinity Tier,Alkalinity Units,Alkalinity Problem,Alkalinity Qualifier,Ammonia-nitrogen,Ammonia-nitrogen Code,Ammonia-nitrogen Tier,Ammonia-nitrogen Units,Ammonia-nitrogen Problem,Ammonia-nitrogen Qualifier,Bacteria (E.Coli) Blank,Bacteria (E.Coli) Blank Code,Bacteria (E.Coli) Blank Tier,Bacteria (E.Coli) Blank Units,Bacteria (E.Coli) Blank Problem,Bacteria (E.Coli) Blank Qualifier,Bacteria (E.Coli),Bacteria (E.Coli) Code,Bacteria (E.Coli) Tier,Bacteria (E.Coli) Units,Bacteria (E.Coli) Problem,Bacteria (E.Coli) Qualifier,Bacteria Incubation Temperature,Bacteria Incubation Temperature Code,Bacteria Incubation Temperature Tier,Bacteria Incubation Temperature Units,Bacteria Incubation Temperature Problem,Bacteria Incubation Temperature Qualifier,Bacteria Incubation Time,Bacteria Incubation Time Code,Bacteria Incubation Time Tier,Bacteria Incubation Time Units,Bacteria Incubation Time Problem,Bacteria Incubation Time Qualifier,Chlorophyll a;b;c,Chlorophyll a;b;c Code,Chlorophyll a;b;c Tier,Chlorophyll a;b;c Units,Chlorophyll a;b;c Problem,Chlorophyll a;b;c Qualifier,Chlorophyll a,Chlorophyll a Code,Chlorophyll a Tier,Chlorophyll a Units,Chlorophyll a Problem,Chlorophyll a Qualifier,Conductivity,Conductivity Code,Conductivity Tier,Conductivity Units,Conductivity Problem,Conductivity Qualifier,Dissolved oxygen % Sat,Dissolved oxygen % Sat Code,Dissolved oxygen % Sat Tier,Dissolved oxygen % Sat Units,Dissolved oxygen % Sat Problem,Dissolved oxygen % Sat Qualifier,Dissolved oxygen,Dissolved oxygen Code,Dissolved oxygen Tier,Dissolved oxygen Units,Dissolved oxygen Problem,Dissolved oxygen Qualifier,Enterococcus Blank,Enterococcus Blank Code,Enterococcus Blank Tier,Enterococcus Blank Units,Enterococcus Blank Problem,Enterococcus Blank Qualifier,Enterococcus,Enterococcus Code,Enterococcus Tier,Enterococcus Units,Enterococcus Problem,Enterococcus Qualifier,Nitrate-nitrogen,Nitrate-nitrogen Code,Nitrate-nitrogen Tier,Nitrate-nitrogen Units,Nitrate-nitrogen Problem,Nitrate-nitrogen Qualifier,Nitrite,Nitrite Code,Nitrite Tier,Nitrite Units,Nitrite Problem,Nitrite Qualifier,Nitrite-nitrate,Nitrite-nitrate Code,Nitrite-nitrate Tier,Nitrite-nitrate Units,Nitrite-nitrate Problem,Nitrite-nitrate Qualifier,Orthophosphate,Orthophosphate Code,Orthophosphate Tier,Orthophosphate Units,Orthophosphate Problem,Orthophosphate Qualifier,pH,pH Code,pH Tier,pH Units,pH Problem,pH Qualifier,Salinity,Salinity Code,Salinity Tier,Salinity Units,Salinity Problem,Salinity Qualifier,Total Depth,Total Depth Code,Total Depth Tier,Total Depth Units,Total Depth Problem,Total Depth Qualifier,Total Dissolved Solids,Total Dissolved Solids Code,Total Dissolved Solids Tier,Total Dissolved Solids Units,Total Dissolved Solids Problem,Total Dissolved Solids Qualifier,Total Kjeldahl Nitrogen,Total Kjeldahl Nitrogen Code,Total Kjeldahl Nitrogen Tier,Total Kjeldahl Nitrogen Units,Total Kjeldahl Nitrogen Problem,Total Kjeldahl Nitrogen Qualifier,Total Nitrogen Blank,Total Nitrogen Blank Code,Total Nitrogen Blank Tier,Total Nitrogen Blank Units,Total Nitrogen Blank Problem,Total Nitrogen Blank Qualifier,Total Nitrogen,Total Nitrogen Code,Total Nitrogen Tier,Total Nitrogen Units,Total Nitrogen Problem,Total Nitrogen Qualifier,Total Phosphorus Blank,Total Phosphorus Blank Code,Total Phosphorus Blank Tier,Total Phosphorus Blank Units,Total Phosphorus Blank Problem,Total Phosphorus Blank Qualifier,Total Phosphorus,Total Phosphorus Code,Total Phosphorus Tier,Total Phosphorus Units,Total Phosphorus Problem,Total Phosphorus Qualifier,Total Suspended Solids,Total Suspended Solids Code,Total Suspended Solids Tier,Total Suspended Solids Units,Total Suspended Solids Problem,Total Suspended Solids Qualifier,Water Clarity,Water Clarity Code,Water Clarity Tier,Water Clarity Units,Water Clarity Problem,Water Clarity Qualifier,Water temperature,Water temperature Code,Water temperature Tier,Water temperature Units,Water temperature Problem,Water temperature Qualifier,Cloud Cover,Other Comments,Other Conditions,Rainfall Within 48 Hours,Rainfall,Sea State,Stream Flow,Tidal Stage,Water Color Description,Water Color,Water Odor Description,Water Odor,Water Surfaces,Weather Conditions Day Before Yesterday,Weather Conditions Today,Weather Conditions Yesterday,Wind Direction,Wind Speed,Comments
10/7/11,12:00:00,ATAS,AWA.ATAS,39.788233,-77.487814,Antietam Watershed Association,1,0.25,,,,,,,2.66,ALKY.3,p2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,DO.4,1,mg/L,,,,,,,,,,,,,,,0,NO3N.1,1,mg/L,,,,,,,,,,,,,,,0.03,OP.1,1,mg/L,,,5,PH.3,1,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WC.5,1,JTU,,,11.5,WT.6,1,deg C,,,,,,,,,,,,,,,,,,,,,
3/2/10,12:00:00,ATAS,AWA.ATAS,39.788233,-77.487814,Antietam Watershed Association,1,0.25,,,,,,,2.687426312,ALKY.3,p2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,DO.4,1,mg/L,,,,,,,,,,,,,,,0.02,NO3N.1,1,mg/L,,,,,,,,,,,,,,,0.05,OP.1,1,mg/L,,,5.5,PH.3,1,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WC.5,1,JTU,,,3,WT.6,1,deg C,,,,,,,,,,,,,,,,,,,,,
4/17/10,12:00:00,ATAS,AWA.ATAS,39.788233,-77.487814,Antietam Watershed Association,1,0.25,,,,,,,2.687426312,ALKY.3,p2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,DO.4,1,mg/L,,,,,,,,,,,,,,,0.035,NO3N.1,1,mg/L,,,,,,,,,,,,,,,0.03,OP.1,1,mg/L,,,5,PH.3,1,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WC.5,1,JTU,,,11,WT.6,1,deg C,,,,,,,,,,,,,,,,,,,,,
5/10/10,12:00:00,ATAS,AWA.ATAS,39.788233,-77.487814,Antietam Watershed Association,1,0.25,,,,,,,2.687426312,ALKY.3,p2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95,DO.4,1,mg/L,,,,,,,,,,,,,,,0.02,NO3N.1,1,mg/L,,,,,,,,,,,,,,,0.04,OP.1,1,mg/L,,,5.5,PH.3,1,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WC.5,1,JTU,,,15,WT.6,1,deg C,,,,,,,,,,,,,,,,,,,,,
2/12/13,12:00:00,MR,AWA.MR,39.741172,-77.491586,Antietam Watershed Association,1,0.25,,,,,,,2.77,ALKY.3,p2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,DO.4,1,mg/L,,,,,,,,,,,,,,,0.02,NO3N.1,1,mg/L,,,,,,,,,,,,,,,0.01,OP.1,1,mg/L,,,7,PH.3,1,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,WC.5,1,JTU,,,5,WT.6,1,deg C,,,,,,,,,,,,,,,,,,,,,
4/4/11,12:00:00,ATAS,AWA.ATAS,39.788233,-77.487814,Antietam Watershed Association,1,0.25,,,,,,,2.792,ALKY.3,p2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,DO.4,1,mg/L,,,,,,,,,,,,,,,0.01,NO3N.1,1,mg/L,,,,,,,,,,,,,,,0.03,OP.1,1,mg/L,,,5,PH.3,1,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WC.5,1,JTU,,,7,WT.6,1,deg C,,,,,,,,,,,,,,,,,,,,,
2/5/10,12:00:00,MR,AWA.MR,39.741172,-77.491586,Antietam Watershed Association,1,0.25,,,,,,,3.038963259,ALKY.3,p2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,DO.4,1,mg/L,,,,,,,,,,,,,,,0.04,NO3N.1,1,mg/L,,,,,,,,,,,,,,,0.02,OP.1,1,mg/L,,,4.5,PH.3,1,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WC.5,1,JTU,,,3,WT.6,1,deg C,,,,,,,,,,,,,,,,,,,,,
5/10/10,12:00:00,MR,AWA.MR,39.741172,-77.491586,Antietam Watershed Association,1,0.25,,,,,,,3.038963259,ALKY.3,p2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,DO.4,1,mg/L,,,,,,,,,,,,,,,0,NO3N.1,1,mg/L,,,,,,,,,,,,,,,0,OP.1,1,mg/L,,,5,PH.3,1,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WC.5,1,JTU,,,7,WT.6,1,deg C,,,,,,,,,,,,,,,,,,,,,
3/5/11,12:00:00,MR,AWA.MR,39.741172,-77.491586,Antietam Watershed Association,1,0.25,,,,,,,3.038963259,ALKY.3,p2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,DO.4,1,mg/L,,,,,,,,,,,,,,,0.02,NO3N.1,1,mg/L,,,,,,,,,,,,,,,0,OP.1,1,mg/L,,,5,PH.3,1,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WC.5,1,JTU,,,2.5,WT.6,1,deg C,,,,,,,,,,,,,,,,,,,,,
7/5/09,12:00:00,MR,AWA.MR,39.741172,-77.491586,Antietam Watershed Association,1,0.25,,,,,,,3.041291174,ALKY.3,p2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,DO.4,1,mg/L,,,,,,,,,,,,,,,0.08,NO3N.1,1,mg/L,,,,,,,,,,,,,,,0,OP.1,1,mg/L,,,5,PH.3,1,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WC.5,1,JTU,,,15,WT.6,1,deg C,,,,,,,,,,,,,,,,,,,,,
4/2/11,12:00:00,MASP,AWA.MASP,39.839708,-77.537533,Antietam Watershed Association,1,0.25,,,,,,,3.2,ALKY.3,p2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,DO.4,1,mg/L,,,,,,,,,,,,,,,0.04,NO3N.1,1,mg/L,,,,,,,,,,,,,,,0.01,OP.1,1,mg/L,,,5,PH.3,1,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WC.5,1,JTU,,,6,WT.6,1,deg C,,,,,,,,,,,,,,,,,,,,,
3/11/12,12:00:00,MASP,AWA.MASP,39.839708,-77.537533,Antietam Watershed Association,1,0.25,,,,,,,3.2,ALKY.3,p2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,DO.4,1,mg/L,,,,,,,,,,,,,,,0.015,NO3N.1,1,mg/L,,,,,,,,,,,,,,,0.01,OP.1,1,mg/L,,,5,PH.3,1,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,WC.5,1,JTU,,,10,WT.6,1,deg C,,,,,,,,,,,,,,,,,,,,,
2/3/13,12:00:00,MASP,AWA.MASP,39.839708,-77.537533,Antietam Watershed Association,1,0.25,,,,,,,3.2,ALKY.3,p2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,DO.4,1,mg/L,,,,,,,,,,,,,,,0.03,NO3N.1,1,mg/L,,,,,,,,,,,,,,,0,OP.1,1,mg/L,,,5,PH.3,1,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,WC.5,1,JTU,,,5.5,WT.6,1,deg C,,,,,,,,,,,,,,,,,,,,,
2/4/12,12:00:00,ATAS,AWA.ATAS,39.788233,-77.487814,Antietam Watershed Association,1,0.25,,,,,,,3.54,ALKY.3,p2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.25,DO.4,1,mg/L,,,,,,,,,,,,,,,0.04,NO3N.1,1,mg/L,,,,,,,,,,,,,,,0.01,OP.1,1,mg/L,,,4.5,PH.3,1,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WC.5,1,JTU,,,4,WT.6,1,deg C,,,,,,,,,,,,,,,,,,,,,
3/6/12,12:00:00,ATAS,AWA.ATAS,39.788233,-77.487814,Antietam Watershed Association,1,0.25,,,,,,,3.54,ALKY.3,p2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.75,DO.4,1,mg/L,,,,,,,,,,,,,,,0.1,NO3N.1,1,mg/L,,,,,,,,,,,,,,,0.03,OP.1,1,mg/L,,,4.5,PH.3,1,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WC.5,1,JTU,,,5,WT.6,1,deg C,,,,,,,,,,,,,,,,,,,,,
12/13/11,12:00:00,ATAS,AWA.ATAS,39.788233,-77.487814,Antietam Watershed Association,1,0.25,,,,,,,3.544,ALKY.3,p2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,DO.4,1,mg/L,,,,,,,,,,,,,,,0.07,NO3N.1,1,mg/L,,,,,,,,,,,,,,,0.09,OP.1,1,mg/L,,,4.5,PH.3,1,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WC.5,1,JTU,,,5,WT.6,1,deg C,,,,,,,,,,,,,,,,,,,,,
4/7/08,12:00:00,MR,AWA.MR,39.741172,-77.491586,Antietam Watershed Association,1,0.25,,,,,,,3.655448318,ALKY.3,p2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,DO.4,1,mg/L,,,,,,,,,,,,,,,0,NO3N.1,1,mg/L,,,,,,,,,,,,,,,0,OP.1,1,mg/L,,,5.5,PH.3,1,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WC.5,1,JTU,,,6.5,WT.6,1,deg C,,,,,,,,,,,,,,,,,,,,,
